Rank,NOC,Gold,Silver,Bronze,Total,Year,Host_NOC,Host_Flag,Total_Events_Per_Year,Athlete_Count,Sport_Count,Historical_Total,Historical_Gold,Gold_Total,Total_Total
82,Afghanistan,0,0,1,1,2008,CHN,0,673,4.0,2.0,1.0,0.0,302,958
79,Afghanistan,0,0,1,1,2012,UNK,0,670,6.0,4.0,2.0,0.0,303,960
80,Albania,0,0,2,2,2024,FRA,0,738,8.0,4.0,2.0,0.0,328,1039
42,Algeria,0,0,2,2,1984,USA,0,492,33.0,4.0,2.0,0.0,226,688
34,Algeria,1,0,1,2,1992,ESP,0,573,35.0,7.0,4.0,1.0,260,815
34,Algeria,2,0,1,3,1996,USA,0,604,45.0,9.0,7.0,3.0,271,842
42,Algeria,1,1,3,5,2000,AUS,0,667,47.0,10.0,10.0,4.0,300,927
68,Algeria,0,1,1,2,2008,CHN,0,673,56.0,12.0,10.0,3.0,302,958
50,Algeria,1,0,0,1,2012,UNK,0,670,38.0,12.0,8.0,2.0,303,960
63,Algeria,0,2,0,2,2016,BRA,0,682,64.0,13.0,5.0,1.0,306,972
39,Algeria,2,0,1,3,2024,FRA,0,738,46.0,15.0,6.0,3.0,328,1039
16,Argentina,1,3,2,6,1924,FRA,0,292,72.0,11.0,6.0,1.0,126,378
12,Argentina,3,3,1,7,1928,NED,0,252,76.0,11.0,13.0,4.0,110,327
12,Argentina,3,1,0,4,1932,USA,0,268,33.0,7.0,17.0,7.0,125,370
14,Argentina,2,2,3,7,1936,GER,0,302,40.0,7.0,18.0,8.0,141,422
13,Argentina,3,3,1,7,1948,UNK,0,312,187.0,16.0,18.0,8.0,138,411
19,Argentina,1,2,2,5,1952,FIN,0,338,110.0,15.0,19.0,6.0,149,459
29,Argentina,0,1,1,2,1956,AUS,0,342,30.0,9.0,14.0,4.0,153,469
30,Argentina,0,1,1,2,1960,ITA,0,340,84.0,15.0,9.0,1.0,152,461
30,Argentina,0,1,0,1,1964,JPN,0,370,97.0,14.0,5.0,0.0,163,504
41,Argentina,0,0,2,2,1968,UNK,0,386,89.0,12.0,5.0,0.0,174,527
33,Argentina,0,1,0,1,1972,GER,0,439,92.0,12.0,4.0,0.0,195,600
35,Argentina,0,1,1,2,1988,KOR,0,528,118.0,18.0,5.0,0.0,241,739
54,Argentina,0,0,1,1,1992,ESP,0,573,84.0,17.0,4.0,0.0,260,815
54,Argentina,0,2,1,3,1996,USA,0,604,179.0,20.0,6.0,0.0,271,842
57,Argentina,0,2,2,4,2000,AUS,0,667,138.0,20.0,8.0,0.0,300,927
38,Argentina,2,0,4,6,2004,GRE,0,669,149.0,22.0,13.0,2.0,301,926
35,Argentina,2,0,4,6,2008,CHN,0,673,131.0,19.0,16.0,4.0,302,958
42,Argentina,1,1,2,4,2012,UNK,0,670,137.0,23.0,16.0,5.0,303,960
26,Argentina,3,1,0,4,2016,BRA,0,682,213.0,26.0,14.0,6.0,306,972
72,Argentina,0,1,2,3,2020,UNK,0,761,189.0,31.0,11.0,4.0,340,1080
52,Argentina,1,1,1,3,2024,FRA,0,738,143.0,25.0,10.0,4.0,328,1039
45,Armenia,1,1,0,2,1996,USA,0,604,32.0,11.0,2.0,1.0,271,842
71,Armenia,0,0,1,1,2000,AUS,0,667,25.0,10.0,3.0,1.0,300,927
62,Armenia,0,1,4,5,2008,CHN,0,673,24.0,7.0,8.0,1.0,302,958
65,Armenia,0,1,1,2,2012,UNK,0,670,24.0,9.0,8.0,0.0,303,960
