Sport,Discipline,Code,Sports Governing Body,Year,Event_Count
Aquatics,Artistic Swimming,SWA,World Aquatics,1896,0
Aquatics,Diving,DIV,World Aquatics,1896,0
Aquatics,Marathon Swimming,OWS,World Aquatics,1896,0
Aquatics,Swimming,SWM,World Aquatics,1896,4
Aquatics,Water Polo,WPO,World Aquatics,1896,0
Archery,Archery,ARC,World Archery,1896,0
Athletics,Athletics,ATH,World Athletics,1896,12
Badminton,Badminton,BDM,BWF,1896,0
Baseball?and Softball,Baseball,BSB,WBSC,1896,0
Baseball?and Softball,Softball,SBL,WBSC,1896,0
Basketball,3x3,BK3,FIBA,1896,0
Basketball,Basketball,BKB,FIBA,1896,0
Basque Pelota,Basque Pelota,PEL,FIPV,1896,0
Boxing,Boxing,BOX,No body recognised AIBA/IBA,1896,0
Breaking,Breaking,BKG,WDSF,1896,0
Canoeing,Sprint,CSP,ICF,1896,0
Canoeing,Slalom,CSL,ICF,1896,0
Cricket,Cricket,CKT,ICC,1896,0
Croquet,Croquet,CQT,WCF,1896,0
Cycling,BMX Freestyle,BMF,UCI,1896,0
Cycling,BMX Racing,BMX,UCI,1896,0
Cycling,Mountain Bike,MTB,UCI,1896,0
Cycling,Road,CRD,UCI,1896,1
Cycling,Track,CTR,UCI,1896,5
Equestrian,Dressage,EDR,FEI,1896,0
Equestrian,Eventing,EVE,FEI,1896,0
Equestrian,Jumping,EJP,FEI,1896,0
Equestrian,Vaulting,EVL,FEI,1896,0
Equestrian,Driving,EDV,FEI,1896,0
Fencing,Fencing,FEN,FIE,1896,3
Field hockey,Field hockey,HOC,FIH,1896,0
Flag football,Flag football,AFB,IFAF,1896,0
Football,Football,FBL,FIFA,1896,0
Golf,Golf,GLF,IGF,1896,0
Gymnastics,Artistic,GAR,FIG,1896,8
Gymnastics,Rhythmic,GRY,FIG,1896,0
Gymnastics,Trampoline,GTR,FIG,1896,0
Handball,Indoor,HBL,IHF,1896,0
Handball,Field,HBL,IHF,1896,0
Jeu de Paume,Jeu de Paume,?,?,1896,0
Judo,Judo,JUD,IJF,1896,0
Karate,Karate,KTE,WKF,1896,0
Lacrosse,Sixes,LAX,WL,1896,0
Lacrosse,Field,LAX,WL,1896,0
Modern Pentathlon,,MPN,UIPM,1896,0
Polo,Polo,POL,FIP,1896,0
Rackets,Rackets,RQT,?,1896,0
Roque,Roque,?,?,1896,0
Rowing,Coastal,ROC,World Rowing,1896,0
Rowing,Rowing,ROW,World Rowing,1896,0
Rugby,Sevens,RU7,World Rugby,1896,0
Rugby,Union,RUG,World Rugby,1896,0
Sailing,Sailing,SAL,World Sailing,1896,0
Shooting,Shooting,SHO,ISSF,1896,5
Skateboarding,Skateboarding,SKB,World Skate,1896,0
Sport Climbing,Sport Climbing,CLB,IFSC,1896,0
Squash,Squash,SQU,WSF,1896,0
Surfing,Surfing,SRF,ISA,1896,0
Table Tennis,Table Tennis,TTE,ITTF,1896,0
Taekwondo,Taekwondo,TKW,World Taekwondo,1896,0
Tennis,Tennis,TEN,ITF,1896,2
Triathlon,Triathlon,TRI,World Triathlon,1896,0
Tug of War,Tug of War,TOW,TWIF,1896,0
Volleyball,Beach,VBV,FIVB,1896,0
Volleyball,Indoor,VVO,FIVB,1896,0
Water Motorsports,,PBT,UIM,1896,0
Weightlifting,Weightlifting,WLF,IWF,1896,2
Wrestling,Freestyle,WRF,UWW,1896,0
Wrestling,Greco-Roman,WRG,UWW,1896,1
